[2026-04-12T10:36:56-04:00] Clear uploads executed | {"deleted_images":1,"deleted_audio":0,"deleted_logs":1,"errors":[]}
[2026-04-12T10:36:56-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T10:36:56-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T10:36:57-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T10:36:57-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T10:37:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T10:37:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:34:02-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:34:02-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:43:07-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:46:36-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:46:36-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:49:06-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:49:06-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:50:12-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:50:13-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:50:13-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:50:39-04:00] Incoming request | {"method":"GET","action":"ensure_upload_dirs","get":{"action":"ensure_upload_dirs"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:50:40-04:00] Incoming request | {"method":"POST","action":"upload_assets","get":{"action":"upload_assets","type":"image"},"post_keys":[],"files_keys":["upload_files"]}
[2026-04-12T11:51:06-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:51:06-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:54:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:54:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:54:34-04:00] Incoming request | {"method":"POST","action":"delete_asset","get":{"action":"delete_asset","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:54:37-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:54:38-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:54:38-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:55:23-04:00] Incoming request | {"method":"GET","action":"ensure_upload_dirs","get":{"action":"ensure_upload_dirs"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:55:24-04:00] Incoming request | {"method":"POST","action":"upload_assets","get":{"action":"upload_assets","type":"image"},"post_keys":[],"files_keys":["upload_files"]}
[2026-04-12T11:56:33-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:56:33-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:57:57-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T11:57:57-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:06:40-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:06:40-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:07:00-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:07:00-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:08:17-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:08:17-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:20:49-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:20:53-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:20:55-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:20:55-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:22:25-04:00] Incoming request | {"method":"GET","action":"ensure_upload_dirs","get":{"action":"ensure_upload_dirs"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:22:25-04:00] Incoming request | {"method":"POST","action":"upload_assets","get":{"action":"upload_assets","type":"image"},"post_keys":[],"files_keys":["upload_files"]}
[2026-04-12T12:23:46-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:24:13-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:25:24-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:26:24-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:29:32-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:31:36-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:31:36-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:32:11-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:32:15-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:32:15-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:32:31-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:32:31-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:35:41-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:36:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:36:04-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:36:06-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:36:06-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:45:37-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:45:38-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:45:41-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:45:41-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:46:39-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:46:43-04:00] Incoming request | {"method":"POST","action":"delete_layout","get":{"action":"delete_layout"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:46:46-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:46:46-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"audio"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:49:11-04:00] Incoming request | {"method":"POST","action":"save_all","get":{"action":"save_all"},"post_keys":[],"files_keys":[]}
[2026-04-12T12:49:48-04:00] Incoming request | {"method":"GET","action":"list_assets","get":{"action":"list_assets","type":"image"},"post_keys":[],"files_keys":[]}
